Année,Mois,Jour,Saison,Consommation (MW),Production (MW),Energies renouvelables (MW),Température moyenne (°C),Température référence (°C),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW)
2013,6,1,1,2182133.0,2665812.0,703412.0,14.8,17.5,45035.0,1917365.0,134025.0,34473.0,503040.0,31874.0
2013,6,2,1,1982519.0,2325818.0,630715.0,14.4,17.6,42616.0,1652487.0,109010.0,40854.0,449448.0,31403.0
2013,6,3,1,2330730.0,2813156.0,736016.0,13.9,17.7,62096.0,2015044.0,129232.0,47887.0,529240.0,29657.0
2013,6,4,1,2357442.0,2883210.0,688626.0,14.5,17.8,95009.0,2099575.0,85944.0,46879.0,525684.0,30119.0
2013,6,5,1,2334995.0,2885063.0,670047.0,17.2,17.9,99272.0,2115744.0,44499.0,47525.0,548156.0,29867.0
2013,6,7,1,2275866.0,2834373.0,689446.0,20.2,18.1,50170.0,2094757.0,58433.0,44379.0,557107.0,29527.0
2013,6,8,1,2000858.0,2547082.0,668120.0,17.8,18.2,41962.0,1837000.0,108836.0,23433.0,506070.0,29781.0
2013,6,9,1,1871449.0,2379033.0,601517.0,14.9,18.3,42008.0,1735508.0,63805.0,23655.0,484087.0,29970.0
2013,6,10,1,2241507.0,2712142.0,631457.0,15.4,18.4,73243.0,2007442.0,30729.0,28710.0,542257.0,29761.0
2013,6,11,1,2302046.0,2802169.0,614987.0,17.0,18.5,97522.0,2089660.0,43186.0,34929.0,507642.0,29230.0
2013,6,12,1,2313284.0,2818627.0,669289.0,19.2,18.6,80074.0,2069264.0,89811.0,39401.0,510303.0,29774.0
2013,6,14,1,2268833.0,2715698.0,619985.0,16.3,18.8,41767.0,2053946.0,31845.0,42789.0,514626.0,30725.0
2013,6,16,1,1853516.0,2201891.0,565750.0,19.1,19.0,42521.0,1593620.0,37366.0,45871.0,451051.0,31462.0
2013,6,20,1,2322457.0,2625481.0,559499.0,17.9,19.3,145085.0,1920897.0,40794.0,27602.0,462207.0,28896.0
2013,6,21,1,2272324.0,2629560.0,615215.0,16.8,19.4,79535.0,1934810.0,79253.0,29797.0,476254.0,29911.0
2013,6,22,1,1998545.0,2421073.0,687735.0,17.2,19.5,41832.0,1691506.0,154861.0,35364.0,465743.0,31767.0
2013,6,23,1,1869878.0,2206290.0,727619.0,16.0,19.6,42267.0,1436404.0,201975.0,34589.0,458698.0,32357.0
2013,6,25,1,2298872.0,2626692.0,594686.0,15.0,19.8,124135.0,1907871.0,45649.0,39878.0,477267.0,31892.0
2013,6,26,1,2299439.0,2644489.0,608282.0,15.9,19.8,131892.0,1904315.0,43276.0,45789.0,486659.0,32558.0
2013,6,28,1,2285700.0,2702777.0,559201.0,15.7,20.0,101890.0,2041686.0,49060.0,27721.0,448885.0,33535.0
2013,6,29,1,2021124.0,2496931.0,564251.0,16.7,20.1,45948.0,1886732.0,93171.0,26815.0,408852.0,35413.0
2013,6,30,1,1864354.0,2221792.0,468313.0,18.2,20.2,41567.0,1711912.0,32590.0,43959.0,356576.0,35188.0
2013,7,2,2,2310803.0,2631344.0,567927.0,19.3,20.3,89111.0,1974306.0,33670.0,37642.0,463550.0,33065.0
2013,7,3,2,2325244.0,2726999.0,634285.0,17.6,20.4,128696.0,1964018.0,102696.0,19623.0,477931.0,34035.0
2013,7,4,2,2321841.0,2737185.0,600696.0,18.2,20.4,138785.0,1997704.0,48931.0,36426.0,481292.0,34047.0
