,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Production (MW),Energies renouvelables (MW),Année,Mois,Jour,TMin (°C),TMax (°C),TMoy (°C)
169,11,299220.0,-189.0,0.0,163.0,442.0,0.0,6731.0,7147.0,7336.0,2016,06,18,11.96,19.86,15.91
170,11,284541.0,-194.0,0.0,88.0,488.0,0.0,6587.0,6969.0,7163.0,2016,06,19,12.78,21.64,17.21
171,11,337685.0,-195.0,0.0,449.0,192.0,0.0,6428.0,6874.0,7069.0,2016,06,20,13.68,17.12,15.4
172,11,344245.0,471.0,0.0,200.0,300.0,0.0,6275.0,7246.0,6775.0,2016,06,21,15.9,22.54,19.22
173,11,349750.0,8119.0,0.0,76.0,543.0,0.0,5811.0,14549.0,6430.0,2016,06,22,18.06,28.22,23.14
174,11,353225.0,685.0,0.0,251.0,684.0,0.0,5757.0,7377.0,6692.0,2016,06,23,19.66,31.7,25.68
175,11,337500.0,551.0,0.0,92.0,599.0,0.0,6061.0,7303.0,6752.0,2016,06,24,17.64,24.7,21.17
176,11,294620.0,-140.0,0.0,239.0,774.0,0.0,8178.0,9051.0,9191.0,2016,06,25,14.16,21.52,17.84
177,11,280597.0,-119.0,0.0,153.0,708.0,0.0,8715.0,9457.0,9576.0,2016,06,26,11.4,21.68,16.54
178,11,331604.0,-111.0,0.0,159.0,398.0,0.0,9051.0,9497.0,9608.0,2016,06,27,14.26,22.3,18.28
179,11,333863.0,-177.0,0.0,158.0,511.0,0.0,8936.0,9428.0,9605.0,2016,06,28,14.2,22.18,18.19
180,11,333476.0,-96.0,0.0,354.0,738.0,0.0,8851.0,9847.0,9943.0,2016,06,29,12.9,23.44,18.17
181,11,335681.0,4594.0,0.0,446.0,420.0,44.0,8854.0,14358.0,9764.0,2016,06,30,15.82,22.86,19.34
182,11,328501.0,-106.0,0.0,480.0,339.0,116.0,9368.0,10197.0,10303.0,2016,07,01,16.36,22.1,19.23
183,11,290909.0,-118.0,0.0,332.0,683.0,144.0,9305.0,10346.0,10464.0,2016,07,02,13.22,20.2,16.71
184,11,279089.0,-218.0,0.0,178.0,368.0,166.0,9521.0,10015.0,10233.0,2016,07,03,13.28,18.04,15.66
185,11,327987.0,-149.0,0.0,57.0,511.0,181.0,9258.0,9858.0,10007.0,2016,07,04,14.46,22.06,18.26
186,11,330090.0,-215.0,0.0,189.0,517.0,192.0,8927.0,9610.0,9825.0,2016,07,05,15.12,22.42,18.77
187,11,330052.0,-227.0,0.0,43.0,765.0,312.0,8376.0,9269.0,9496.0,2016,07,06,10.7,24.22,17.46
188,11,332613.0,-443.0,0.0,30.0,821.0,384.0,7749.0,8541.0,8984.0,2016,07,07,12.22,28.28,20.25
189,11,329560.0,-181.0,0.0,212.0,780.0,379.0,7316.0,8506.0,8687.0,2016,07,08,14.54,28.72,21.63
190,11,297705.0,-170.0,0.0,75.0,900.0,384.0,7774.0,8963.0,9133.0,2016,07,09,15.42,28.66,22.04
191,11,281619.0,-158.0,0.0,266.0,874.0,376.0,7669.0,9027.0,9185.0,2016,07,10,17.56,30.54,24.05
192,11,321376.0,-135.0,0.0,251.0,479.0,371.0,7590.0,8556.0,8691.0,2016,07,11,17.1,22.4,19.75
193,11,320900.0,-151.0,0.0,285.0,542.0,371.0,8257.0,9304.0,9455.0,2016,07,12,13.58,22.54,18.06
194,11,313601.0,-146.0,0.0,305.0,527.0,348.0,7778.0,8812.0,8958.0,2016,07,13,12.02,19.64,15.83
195,11,275092.0,-94.0,0.0,241.0,625.0,336.0,7822.0,8930.0,9024.0,2016,07,14,10.78,20.74,15.76
196,11,293594.0,-95.0,0.0,63.0,752.0,335.0,7765.0,8820.0,8915.0,2016,07,15,10.2,23.78,16.99
197,11,276048.0,-109.0,0.0,72.0,628.0,338.0,7572.0,8501.0,8610.0,2016,07,16,14.3,26.44,20.37
198,11,266537.0,-104.0,0.0,74.0,827.0,434.0,7591.0,8822.0,8926.0,2016,07,17,15.58,28.76,22.17
199,11,325290.0,12824.0,0.0,218.0,796.0,409.0,8134.0,22381.0,9557.0,2016,07,18,16.72,31.18,23.95
200,11,340795.0,569.0,0.0,229.0,814.0,409.0,7590.0,9611.0,9042.0,2016,07,19,19.18,34.68,26.93
201,11,344634.0,4365.0,0.0,255.0,463.0,432.0,7327.0,12842.0,8477.0,2016,07,20,20.96,29.62,25.29
202,11,332783.0,-88.0,0.0,86.0,540.0,429.0,7562.0,8529.0,8617.0,2016,07,21,17.58,25.74,21.66
203,11,320391.0,1580.0,0.0,134.0,567.0,432.0,8528.0,11241.0,9661.0,2016,07,22,16.46,27.0,21.73
204,11,288018.0,-121.0,0.0,264.0,757.0,432.0,8425.0,9757.0,9878.0,2016,07,23,15.48,27.7,21.59
205,11,271149.0,1049.0,0.0,111.0,783.0,432.0,8142.0,10517.0,9468.0,2016,07,24,14.7,27.78,21.24
206,11,321756.0,1690.0,0.0,73.0,420.0,418.0,7842.0,10443.0,8753.0,2016,07,25,20.04,26.38,23.21
207,11,316386.0,3429.0,0.0,145.0,650.0,415.0,7771.0,12410.0,8981.0,2016,07,26,14.14,24.26,19.2
208,11,311279.0,2753.0,0.0,120.0,519.0,403.0,8007.0,11802.0,9049.0,2016,07,27,13.38,25.7,19.54
209,11,313923.0,-132.0,0.0,214.0,494.0,415.0,8347.0,9338.0,9470.0,2016,07,28,17.28,24.58,20.93
